name,website,vertical ,sub vertical,Descripcion / solución ,país ¿dónde se encuentra su principal sede de operaciones? ,ciudad/región ,Estadío actual ,Teléfono ,Mail ,LINKEDIN,INSTAGRAM ,FACEBOOK,X (twitter),Logo ,Founder/s,Founded,Modelo de Negocio,"DESTACADO/ BADGES ¿QUÉ LA HACE ESPECIAL?""",Funding total 2026,ETAPA DE MADUREZ ¿En qué momento del crecimiento está?,ÁREA INFLUENCIA: ¿qué alcance tiene su solución hoy?,"ESTADIO SOLUCIÓN (¿En qué nivel de madurez tecnológica se encuentra tu proyecto?)""",IMPACTO /SOCIOAMBIENTAL,RESULTADO / OUTCOME ¿QUÉ PASÓ CON LA EMPRESA?
Spoiler Alert,https://www.spoileralert.com/?ref=failory,OTRO ,Transversal al sector,"El software que permite a los socios comerciales de fabricación, venta al por mayor y al por menor llevar inventario de alta calidad a las casas adecuadas a los precios justos.",Estados Unidos,Bostón ,,,,,,,,,,,,,,,,,,
HyProMag,https://hypromag.com/?ref=failory,CIRCULAR ECONOMY,recycling,"La tecnología principal que comercializa HyProMag es el Procesamiento de Hidrógeno de Chatarra Magnética (HPMS), patentado y de alta eficiencia energética, para extraer y desmagnetizar polvos de aleación de NdFeB (neodimio-hierro-boro) de los imanes incrustados en chatarra y equipos redundantes.",Reino Unido,,,,,,,,,,,,,,,,,,,
DePoly,https://www.depoly.co/?ref=failory,CIRCULAR ECONOMY,Waste Valorization,"Empresa de reciclaje químico de plásticos que desarrolla tecnología para despolimerizar residuos PET y poliéster en materias primas reutilizables, apoyando la transición a una economía circular del plástico",Suiza,,,,,,,,,,,,,,,,,,,
Glacier,https://endwaste.io/?ref=failory,CIRCULAR ECONOMY,Waste Valorization," construimos robots de última generación que hacen que el reciclaje sea eficiente, rentable y circular. Nuestros sistemas combinan la visión artificial con la robótica para recuperar más materiales a menor coste.",Estados Unidos,San Francisco,,,,,,,,,,,,,,,,,,
800 Super Holdings,https://www.800super.com.sg/?ref=failory,CIRCULAR ECONOMY,recycling,"Ofrecen soluciones ambientales para organizacines públicas o privadas: como gestión y tratamiento de residuos, limpieza y conservación, y servicios de horticultura. ",Singapur,Sembawang,,,,,,,,,,,,,,,,,,
Greyparrot,https://www.greyparrot.ai/?ref=failory,CIRCULAR ECONOMY,recycling,"Plataforma IA de análisis inteligente de residuos, que identifica y clasifica materiales en plantas de reciclaje y proporciona datos accionables a marcas y operadores para mejorar la recuperabilidad y diseño circular de empaques.",Reino Unido,,,,,,,,,,,,,,,,,,,
NoPalm-Ingredients,https://www.nopalm-ingredients.com/?ref=failory,CIRCULAR ECONOMY,Agri-food Upcycling,"Foodtech/biotech que produce alternativas sostenibles a los aceites de palma mediante fermentación y uso de subproductos lácteos, reduciendo impacto ambiental y promoviendo circularidad.",Países Bajos,,,,,,,,,,,,,,,,,,,
Infiniti Recycling,https://infinitirecycling.com/?ref=failory,CIRCULAR ECONOMY,recycling,Nuestro enfoque de economía circular se centra en recuperar materiales valiosos de las baterías Estados Unidosdas y reintroducirlos en la producción de nuevas baterías u otras aplicaciones.,Inglaterra,Cambridge,,,,,,,,,,,,,,,,,,
Ace Green Recycling,https://www.acegreenrecycling.com/?ref=failory,CIRCULAR ECONOMY,recycling,Una innovadora plataforma tecnológica de reciclaje de baterías que ofrece soluciones sostenibles para el final de su vida útil.,Estados Unidos,Houston,,,,,,,,,,,,,,,,,,
Fourth Partner Energy,http://fourthpartner.co/?ref=failory,CIRCULAR ECONOMY,recycling,"Nos dedicamos a transformar las fuentes de energía de las organizaciones, en energía limpia, confiable y disponible las 24 horas.Impulsando un planeta más limpio y verde para las generaciones futuras",India,,,,,,,,,,,,,,,,,,,
